estevamfurtado@Estevams-MacBook-Pro micrograd-go % go run ./examples/mnist
train: 60000 samples, test: 10000 samples
model: 12730 parameters
hidden_size=16 limit=60000 test_limit=10000 epochs=10 batch_size=32 lr=0.02
training started (0.00 min)
initial test accuracy: 6.2%
epoch | batch |    min |   loss | accuracy
epoch 0 started (0.11 min, lr 0.020)
    2 |  1700 |   6.34 |   0.28 |    87.5%
    2 |  1750 |   6.39 |   0.24 |    90.6%
    2 |  1800 |   6.43 |   0.20 |    93.8%
    2 |  1850 |   6.48 |   0.33 |    93.8%
epoch 2 done (7.13 min): test 92.0%, train 91.8%
epoch 3 started (7.13 min, lr 0.015)
    3 |     0 |   7.14 |   0.17 |    93.8%
    3 |    50 |   7.18 |   0.28 |    87.5%
    3 |   100 |   7.23 |   0.17 |    96.9%
    3 |   150 |   7.27 |   0.13 |    93.8%
    3 |   200 |   7.32 |   0.31 |    93.8%
    3 |   250 |   7.37 |   0.14 |    96.9%
    3 |   300 |   7.42 |   0.21 |    93.8%
    3 |   350 |   7.47 |   0.39 |    90.6%
    3 |   400 |   7.53 |   0.40 |    81.2%
    3 |   450 |   7.58 |   0.36 |    90.6%
    3 |   500 |   7.63 |   0.30 |    84.4%
    3 |   550 |   7.68 |   0.22 |    96.9%
    3 |   600 |   7.73 |   0.13 |    93.8%
    3 |   650 |   7.79 |   0.15 |    96.9%
    3 |   700 |   7.85 |   0.18 |    93.8%
    3 |   750 |   7.91 |   0.34 |    93.8%
    3 |   800 |   7.97 |   0.52 |    87.5%
    3 |   850 |   8.03 |   0.68 |    87.5%
    3 |   900 |   8.08 |   0.28 |    96.9%
    3 |   950 |   8.14 |   0.30 |    96.9%
    3 |  1000 |   8.19 |   0.13 |    96.9%
    3 |  1050 |   8.24 |   0.43 |    90.6%
    3 |  1100 |   8.29 |   0.55 |    90.6%
    3 |  1150 |   8.34 |   0.30 |    87.5%
    3 |  1200 |   8.38 |   0.57 |    93.8%
    3 |  1250 |   8.43 |   0.25 |    96.9%
    3 |  1300 |   8.48 |   0.09 |   100.0%
    3 |  1350 |   8.53 |   0.15 |    96.9%
    3 |  1400 |   8.58 |   0.19 |    93.8%
    3 |  1450 |   8.62 |   0.24 |    90.6%
    3 |  1500 |   8.67 |   0.16 |    96.9%
    3 |  1550 |   8.72 |   0.47 |    84.4%
    3 |  1600 |   8.77 |   0.30 |    90.6%
