estevamfurtado@Estevams-MacBook-Pro micrograd-go % go run ./examples/mnist      
train: 60000 samples, test: 10000 samples
model: 12730 parameters
hidden_size=16 limit=60000 test_limit=10000 epochs=10 batch_size=32 lr=0.02
training started (0.00 min)
initial test accuracy: 10.3%
epoch | batch |    min |   loss | accuracy
epoch 0 started (0.10 min, lr 0.020)
    2 |  1700 |   6.66 |   0.28 |    87.5%
    2 |  1750 |   6.72 |   0.25 |    90.6%
    2 |  1800 |   6.77 |   0.21 |    96.9%
    2 |  1850 |   6.83 |   0.32 |    90.6%
epoch 2 done (7.54 min): test 92.3%, train 92.0%
epoch 3 started (7.54 min, lr 0.015)
    3 |     0 |   7.54 |   0.17 |    93.8%
    3 |    50 |   7.59 |   0.28 |    87.5%
    3 |   100 |   7.64 |   0.19 |    96.9%
    3 |   150 |   7.70 |   0.13 |    93.8%
    3 |   200 |   7.76 |   0.32 |    93.8%
    3 |   250 |   7.81 |   0.12 |    96.9%
    3 |   300 |   7.86 |   0.22 |    93.8%
    3 |   350 |   7.91 |   0.38 |    93.8%
    3 |   400 |   7.95 |   0.47 |    81.2%
    3 |   450 |   8.00 |   0.41 |    90.6%
    3 |   500 |   8.06 |   0.28 |    84.4%
    3 |   550 |   8.11 |   0.31 |    96.9%
    3 |   600 |   8.16 |   0.12 |    93.8%
    3 |   650 |   8.21 |   0.13 |    96.9%
    3 |   700 |   8.26 |   0.16 |    93.8%
    3 |   750 |   8.33 |   0.30 |    96.9%
    3 |   800 |   8.39 |   0.57 |    87.5%
    3 |   850 |   8.44 |   0.59 |    87.5%
    3 |   900 |   8.50 |   0.29 |    93.8%
    3 |   950 |   8.55 |   0.26 |    96.9%
    3 |  1000 |   8.60 |   0.13 |    96.9%
    3 |  1050 |   8.65 |   0.44 |    87.5%
    3 |  1100 |   8.69 |   0.55 |    90.6%
    3 |  1150 |   8.74 |   0.26 |    93.8%
    3 |  1200 |   8.78 |   0.52 |    93.8%
    3 |  1250 |   8.83 |   0.21 |    96.9%
    3 |  1300 |   8.88 |   0.12 |    96.9%
    3 |  1350 |   8.92 |   0.16 |    96.9%
    3 |  1400 |   8.97 |   0.16 |    93.8%
    3 |  1450 |   9.01 |   0.21 |    93.8%
    3 |  1500 |   9.06 |   0.15 |    96.9%
    3 |  1550 |   9.10 |   0.45 |    81.2%
    3 |  1600 |   9.15 |   0.30 |    93.8%
    3 |  1650 |   9.19 |   0.13 |    96.9%
    3 |  1700 |   9.24 |   0.21 |    93.8%
    3 |  1750 |   9.29 |   0.24 |    93.8%
    3 |  1800 |   9.33 |   0.33 |    93.8%
    3 |  1850 |   9.39 |   0.11 |   100.0%
epoch 3 done (10.08 min): test 92.6%, train 92.4%
epoch 4 started (10.08 min, lr 0.013)
    4 |     0 |  10.09 |   0.31 |    93.8%
    4 |    50 |  10.14 |   0.18 |    93.8%
    4 |   100 |  10.18 |   0.65 |    90.6%
    4 |   150 |  10.23 |   0.21 |    93.8%
    4 |   200 |  10.29 |   0.45 |    84.4%
    4 |   250 |  10.34 |   0.21 |    93.8%
    4 |   300 |  10.39 |   0.23 |    93.8%
    4 |   350 |  10.44 |   0.25 |    96.9%
    4 |   400 |  10.49 |   0.18 |    93.8%
    4 |   450 |  10.53 |   0.07 |    96.9%
    4 |   500 |  10.58 |   0.26 |    93.8%
    4 |   550 |  10.62 |   0.38 |    87.5%
    4 |   600 |  10.67 |   0.18 |    96.9%
    4 |   650 |  10.72 |   0.38 |    93.8%
    4 |   700 |  10.76 |   0.26 |    90.6%
    4 |   750 |  10.81 |   0.60 |    87.5%
    4 |   800 |  10.86 |   0.35 |    90.6%
    4 |   850 |  10.90 |   0.10 |   100.0%
    4 |   900 |  10.95 |   0.18 |    96.9%
    4 |   950 |  11.00 |   0.16 |    93.8%
    4 |  1000 |  11.05 |   0.12 |    96.9%
    4 |  1050 |  11.10 |   0.29 |    93.8%
    4 |  1100 |  11.15 |   0.79 |    75.0%
    4 |  1150 |  11.19 |   0.32 |    87.5%
    4 |  1200 |  11.24 |   0.29 |    93.8%
    4 |  1250 |  11.29 |   0.38 |    81.2%
    4 |  1300 |  11.33 |   0.26 |    90.6%
    4 |  1350 |  11.38 |   0.74 |    78.1%
    4 |  1400 |  11.43 |   0.15 |    93.8%
    4 |  1450 |  11.47 |   0.27 |    87.5%
    4 |  1500 |  11.52 |   0.48 |    90.6%
    4 |  1550 |  11.56 |   0.17 |    96.9%
    4 |  1600 |  11.61 |   0.14 |    93.8%
    4 |  1650 |  11.65 |   0.21 |    93.8%
    4 |  1700 |  11.70 |   0.55 |    78.1%
    4 |  1750 |  11.74 |   0.32 |    93.8%
    4 |  1800 |  11.79 |   0.33 |    87.5%
    4 |  1850 |  11.84 |   0.33 |    84.4%
epoch 4 done (12.50 min): test 93.2%, train 92.9%
epoch 5 started (12.50 min, lr 0.011)
    5 |     0 |  12.50 |   0.23 |    93.8%
    5 |    50 |  12.54 |   0.30 |    90.6%
    5 |   100 |  12.59 |   0.24 |    90.6%
    5 |   150 |  12.63 |   0.35 |    93.8%
    5 |   200 |  12.68 |   0.19 |    93.8%
    5 |   250 |  12.72 |   0.48 |    81.2%
    5 |   300 |  12.77 |   0.35 |    96.9%
    5 |   350 |  12.81 |   0.23 |    93.8%
    5 |   400 |  12.86 |   0.30 |    93.8%
    5 |   450 |  12.90 |   0.31 |    93.8%
    5 |   500 |  12.94 |   0.42 |    87.5%
    5 |   550 |  12.99 |   0.26 |    87.5%
    5 |   600 |  13.03 |   0.34 |    90.6%
    5 |   650 |  13.08 |   0.27 |    90.6%
    5 |   700 |  13.12 |   0.43 |    84.4%
    5 |   750 |  13.17 |   0.28 |    90.6%
    5 |   800 |  13.21 |   0.10 |    96.9%
    5 |   850 |  13.26 |   0.42 |    87.5%
    5 |   900 |  13.30 |   0.12 |    96.9%
    5 |   950 |  13.35 |   0.17 |    96.9%
    5 |  1000 |  13.39 |   0.11 |    96.9%
    5 |  1050 |  13.44 |   0.12 |    96.9%
    5 |  1100 |  13.48 |   0.20 |    93.8%
    5 |  1150 |  13.53 |   0.26 |    90.6%
    5 |  1200 |  13.57 |   0.48 |    87.5%
    5 |  1250 |  13.62 |   0.28 |    90.6%
    5 |  1300 |  13.66 |   0.32 |    90.6%
    5 |  1350 |  13.71 |   0.48 |    87.5%
    5 |  1400 |  13.75 |   0.30 |    90.6%
    5 |  1450 |  13.80 |   0.16 |    93.8%
    5 |  1500 |  13.84 |   0.29 |    93.8%
    5 |  1550 |  13.89 |   0.10 |   100.0%
    5 |  1600 |  13.93 |   0.24 |    93.8%
